distance_km,mw_arrival,tt_arrival,mode_of_transport
1.1,-5,-10,Walking
5.1,-20,-25,Transit
20,-50,-40,Driving
7.4,0,-15,Transit
1,0,0,Walking
12.4,-2,-2,Cycling
12,-15,-15,Driving
10,-5,-5,Transit
15,-90,-120,Driving
10,-5,85,Transit
11.3,-10,-10,Transit
6,5,15,Transit
10,-5,-5,Transit
6.6,30,15,Transit
7.7,-15,-15,Transit
1.2,-10,-25,Walking
7.8,15,75,Transit
6.2,-60,0,Transit
15,90,90,Driving
16,7,2,Transit
0.7,10,10,Walking
26.8,-45,-75,Driving
6.7,15,10,Transit
4.2,0,0,Transit
9.1,30,0,Driving
1.5,5,5,Cycling
1,10,10,Walking
10,-15,-5,Transit
10.1,30,30,Transit
1.4,-2,-5,Walking
0.7,-5,-5,Walking
5.1,10,0,Transit
1.6,5,5,Walking
1,60,30,Walking
7,5,0,Transit
1,10,0,Walking
1,0,-2,Walking
0.9,-3,-3,Walking
44,-2,-5,Transit
12,-45,-75,Transit
0.9,3,3,Walking
7.5,5,0,Transit
1,30,30,Walking
5.3,5,-5,Transit
8.1,10,0,Transit
2,0,0,Transit
1,3,3,Walking
6.5,3,0,Cycling
15,0,-5,Driving
14,10,-10,Transit
1,5,5,Walking
12.7,-5,-5,Transit
10,7,7,Transit
22,-30,-30,Transit
3.6,7,2,Cycling
9.5,10,5,Transit
