distance_km,arrival,mode_of_transport
1.1,-5,Walking
5.1,-20,Transit
20,-50,Driving
7.4,0,Transit
1,0,Walking
12.4,-2,Cycling
12,-15,Driving
10,-5,Transit
15,-90,Driving
10,-5,Transit
11.3,-10,Transit
6,5,Transit
10,-5,Transit
6.6,30,Transit
7.7,-15,Transit
1.2,-10,Walking
7.8,15,Transit
6.2,-60,Transit
15,90,Driving
16,7,Transit
0.7,10,Walking
26.8,-45,Driving
6.7,15,Transit
4.2,0,Transit
9.1,30,Driving
1.5,5,Cycling
1,10,Walking
10,-15,Transit
10.1,30,Transit
1.4,-2,Walking
0.7,-5,Walking
5.1,10,Transit
1.6,5,Walking
1,60,Walking
7,5,Transit
1,10,Walking
1,0,Walking
0.9,-3,Walking
44,-2,Transit
12,-45,Transit
0.9,3,Walking
7.5,5,Transit
1,30,Walking
5.3,5,Transit
8.1,10,Transit
2,0,Transit
1,3,Walking
6.5,3,Cycling
15,0,Driving
14,10,Transit
1,5,Walking
12.7,-5,Transit
10,7,Transit
22,-30,Transit
3.6,7,Cycling
9.5,10,Transit
1.1,-10,Walking
5.1,-25,Transit
20,-40,Driving
7.4,-15,Transit
1,0,Walking
12.4,-2,Cycling
12,-15,Driving
10,-5,Transit
15,-120,Driving
10,85,Transit
11.3,-10,Transit
6,15,Transit
10,-5,Transit
6.6,15,Transit
7.7,-15,Transit
1.2,-25,Walking
7.8,75,Transit
6.2,0,Transit
15,90,Driving
16,2,Transit
0.7,10,Walking
26.8,-75,Driving
6.7,10,Transit
4.2,0,Transit
9.1,0,Driving
1.5,5,Cycling
1,10,Walking
10,-5,Transit
10.1,30,Transit
1.4,-5,Walking
0.7,-5,Walking
5.1,0,Transit
1.6,5,Walking
1,30,Walking
7,0,Transit
1,0,Walking
1,-2,Walking
0.9,-3,Walking
44,-5,Transit
12,-75,Transit
0.9,3,Walking
7.5,0,Transit
1,30,Walking
5.3,-5,Transit
8.1,0,Transit
2,0,Transit
1,3,Walking
6.5,0,Cycling
15,-5,Driving
14,-10,Transit
1,5,Walking
12.7,-5,Transit
10,7,Transit
22,-30,Transit
3.6,2,Cycling
9.5,5,Transit
